class,tweet
1,I said I m a vagina but not a fag Who HASN T seen that movie
1,pussies
1,Gabby is back bitches step aside
1,The tweeter gurl is on Tumblr using a taser on roaches that I m assuming are in her house You bitches have no shame
1,I follow sum bush ass bitches on here 128565
1,Good day honkies
2,Thank you Charlie
2,Tennessee isn t even orange it s like vitamin pee yellow 128553 128514 128514 128514
2,Charlie Sheen will star in a new sitcom as an anger management therapist So what s next Casey Anthony as the owner of
2,When people really think I m Asian I get offended Even though I make fun of my gook self
2,Taakstraf in herkenbaar hesje in je eigen buurt Pleit er al jaren voor Weet hoe bevreesd ik er ooit voor was da k er te wer 8230
1,She gon look over these bitches like terms and conditions
2,Scott Walker investigate Christie s Bridgegate Perry s drunk monkey Dem DA gate All men innocent All threats to left 8230
0,you d like that wouldn t you fag
1,Sex should be a reward in a relationship Nigga has never done anything for you whatsoever yet you still give him the pussy smh
1,You re such a fake bitch hahaha
1,128514 128514 128514 played that nigga smh 8220 bitches are so shady oh my god 128514 128514
2,The last planet of the apes with my kids It s been a minute
2,Inspiring a huge crowd of tourists to sit and watch the wild meadow rats over here by the trash cans Cameras are out There is gasping
1,Said you a mean bitch
1,The nipples determine whether the titties are trash or not
2,I mean sometimes eating a carton of Double Stuf Oreos is your only option
1,i thought you had some fucked up birth defect that made your nips heart shaped lmao
1,Kayci and I greet each other by saying hey cunt like it makes me lol
1,i ont neva chase hoes they move to slow i let em chase me
1,Lol that s some hoe shit
1,You re such a bitch Me
1,I m just a normal ass dude that has no hoes and happens to be funny every once in a while
1,Real men ask for nudes Correction Pussy ass bitches ask for nudes Real men are out there working for women amp actually h 8230
1,The type of bitches that I like think broke is disgusting
1,8220 Oomf pregnant from dat dog in the hood dat chase erbody 128514 128514 128514 8221 REAL funny bitch
1,I m flipping thru the tv saw the bachelor on stooped for a second and all I can say is all them hoes garbage
0,Yeah Me too My people the women laff at the set apart men they love the real niggas or niggers
1,I be stalking hoes
1,ugly goldigging cunt u probably have an uncircumcised penis faggot
1,honestyhour we don t love these hoes
1,Dyke pastors be in The Lords house tryna cuff all the pussy bruh bruh
2,Designer belt with a trash fit is still trash
2,I want some cookies brownies and ice cream 128523
2,the train station Harry s at is trash I ve been to the same Eurostar too they refunded my whole trip to Paris bc train accident
1,And even if the sky come fallin bitch ima still be high I got faith in my weed man
0,shut up chink
1,Bae If I win you don t get no pussy tonight Me Shiiiiiit 128514 128514
2,Early bird get the worm
1,Experience Charlie Married woman who loves hot phone sex with strangers Can you get me off 27
2,southcarolina has a highschool graduation rate near 50 and that s why they have so many uninformed teabaggers morningjoe
2,That s what that means some kid called me at like 1 in the morning asking me if I wanted to hit the slopes
2,Apparently im a honky Pfft Like that s a bad thing
1,I be ready to tell a bitch shut da fuck up lol
1,Million dollar bitch slap a ho
1,I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags
1,Niggas and bitches gotta quit wit da money pics If I can count it accurately it ain t enough 128514 128514 128514
